Team,Rank,Pld,Pts,GF,GA,GD,SF,SoTF,SA,SoTA,Poss,PassComp,xG
Arsenal,8,38,61,55,39,16,455,141,419,128,53.8,83.6,53.5
Aston Villa,11,38,55,55,46,9,518,179,536,177,48.1,77.2,52.9
Brighton,16,38,41,40,46,-6,476,129,352,117,51.3,80.2,51.6
Burnley,17,38,39,33,55,-22,383,125,562,179,41.7,70.8,39.9
Chelsea,4,38,67,58,36,22,553,194,332,103,61.4,86.1,64
Crystal Palace,14,38,44,41,66,-25,346,129,533,173,40.1,75.5,32.4
Everton,10,38,59,47,48,-1,395,144,502,158,46.5,80.4,47.1
Fulham,18,38,28,27,53,-26,440,123,421,164,49.9,80.5,41.3
Leeds United,9,38,59,62,54,8,524,196,549,189,57.6,79.8,57.5
Leicester City,5,38,66,68,50,18,472,172,369,134,54.6,81.3,56
Liverpool,3,38,69,68,42,26,600,201,324,137,62.4,84.3,72.6
Manchester City,1,38,86,83,32,51,590,213,275,89,63.9,88.3,73.3
Manchester Utd,2,38,74,73,44,29,517,197,425,135,55.8,84.2,60.2
Newcastle Utd,12,38,45,46,62,-16,387,130,571,179,38.2,74.7,41
Sheffield Utd,20,38,23,20,63,-43,319,92,541,205,41.5,76.1,31.4
Southampton,15,38,43,47,68,-21,417,157,421,169,52.2,78.7,42.4
Tottenham,7,38,62,68,45,23,442,166,477,144,51.7,81.2,54.5
West Brom,19,38,26,35,76,-41,336,107,591,235,37.6,71.4,33.8
West Ham,6,38,65,62,47,15,462,158,458,143,42.9,76.6,53.9
Wolves,13,38,45,36,52,-16,462,149,436,144,49.3,81.6,39.9
