Club,PLD,HW,HD,HL,AW,AD,AL,GF,GA,GD,PTS
Man City,30,12,2,2,10,3,1,64,21,43,71
Man United,29,7,3,4,9,6,0,56,32,24,57
Leicester,29,7,1,6,10,4,1,53,32,21,56
Chelsea,29,7,5,2,7,4,4,44,25,19,51
West Ham,29,8,4,3,6,3,5,45,35,10,49
Tottenham,29,7,3,4,7,3,5,49,30,19,48
Liverpool,29,7,2,6,6,5,3,48,36,12,46
Everton,28,5,2,7,9,2,3,40,37,3,46
Arsenal,29,6,3,5,6,3,6,40,32,8,42
Aston Villa,28,5,2,6,7,3,5,39,30,9,41
Leeds,29,5,3,6,7,0,8,45,47,-2,39
Crystal Palace,29,5,5,5,5,2,7,31,47,-16,37
Wolves,29,5,4,5,4,4,7,28,38,-10,35
Southampton,29,5,2,7,4,4,7,36,51,-15,33
Burnley,29,4,6,5,4,3,7,22,37,-15,33
Brighton,29,2,7,6,5,4,5,32,36,-4,32
Newcastle,29,4,4,6,3,3,9,28,48,-20,28
Fulham,30,2,4,10,3,7,4,23,38,-15,26
West Brom,29,2,5,8,1,4,9,20,57,-37,18
Sheffield United,29,3,1,11,1,1,12,16,50,-34,14
