Club,PLD,HW,HD,HL,AW,AD,AL,GF,GA,GD,PTS
Man City,38,13,2,4,14,3,2,83,32,51,86
Man United,38,9,4,6,12,7,0,73,44,29,74
Liverpool,38,10,3,6,10,6,3,68,42,26,69
Chelsea,38,9,6,4,10,4,5,58,36,22,67
Leicester,38,9,1,9,11,5,3,68,50,18,66
West Ham,38,10,4,5,9,4,6,62,47,15,65
Tottenham,38,10,3,6,8,5,6,68,45,23,62
Arsenal,38,8,4,7,10,3,6,55,39,16,61
Leeds,38,8,5,6,10,0,9,62,54,8,59
Everton,38,6,4,9,11,4,4,47,48,-1,59
Aston Villa,38,7,4,8,9,3,7,55,46,9,55
Newcastle,38,6,5,8,6,4,9,46,62,-16,45
Wolves,38,7,4,8,5,5,9,36,52,-16,45
Crystal Palace,38,6,5,8,6,3,10,41,66,-25,44
Southampton,38,8,3,8,4,4,11,47,68,-21,43
Brighton,38,4,9,6,5,5,9,40,46,-6,41
Burnley,38,4,6,9,6,3,10,33,55,-22,39
Fulham,38,2,4,13,3,9,7,27,53,-26,28
West Brom,38,3,6,10,2,5,12,35,76,-41,26
Sheffield United,38,5,1,13,2,1,16,20,63,-43,23
