League,Season,Team,Points,Shots,SoT,ShotDist,PassComp,Dribbles,Tackles,Crosses,Intercepts,AerialWon,AerialLost
EPL,2021,Arsenal,69,580,185,17.3,16110,295,573,433,476,553,662
EPL,2021,Aston Villa,45,461,159,17.1,12521,275,686,452,587,599,639
EPL,2021,Brentford,46,441,139,15.6,11551,233,693,433,589,830,824
EPL,2021,Brighton,51,483,140,16.8,16342,334,722,485,558,650,629
EPL,2021,Burnley,35,406,117,16.4,9508,255,629,449,617,984,912
EPL,2021,Chelsea,74,585,199,16.9,20878,360,660,496,557,623,547
EPL,2021,Crystal Palace,48,404,141,15.4,14780,358,690,422,561,754,687
EPL,2021,Everton,39,431,127,17.1,10325,309,779,414,600,711,866
EPL,2021,Leeds United,38,485,142,17.7,13830,297,858,436,627,560,664
EPL,2021,Leicester City,52,436,163,17.2,15911,283,751,345,532,625,611
EPL,2021,Liverpool,92,722,237,15.9,20856,355,589,554,552,621,549
EPL,2021,Manchester City,93,704,239,15.7,24032,386,508,610,434,530,433
EPL,2021,Manchester Utd,58,505,179,17.1,16464,353,632,425,566,640,498
EPL,2021,Newcastle Utd,49,443,140,17.2,10211,330,706,406,598,791,740
EPL,2021,Norwich City,22,374,104,18.1,11974,289,678,374,633,585,669
EPL,2021,Southampton,40,483,159,17,12571,324,666,450,677,756,902
EPL,2021,Tottenham,71,491,186,16.3,16914,349,691,407,552,651,552
EPL,2021,Watford,23,398,126,17.6,10380,385,693,385,675,809,843
EPL,2021,West Ham,56,446,143,16,14176,238,557,521,539,689,709
EPL,2021,Wolves,51,403,134,17.9,15024,402,733,393,562,543,568
EPL,2020,Arsenal,61,455,141,16.9,17802,303,510,519,337,515,606
EPL,2020,Aston Villa,55,518,179,16.5,12779,394,590,529,377,781,735
EPL,2020,Brighton,41,476,129,16.6,15598,344,664,474,395,553,605
EPL,2020,Burnley,39,383,125,16.6,10644,249,562,441,399,951,898
EPL,2020,Chelsea,67,553,194,16.3,21646,368,676,512,444,614,550
EPL,2020,Crystal Palace,44,346,129,16.8,11391,373,694,345,460,734,724
EPL,2020,Everton,59,395,144,16.4,14670,341,684,408,398,693,529
EPL,2020,Fulham,28,440,123,17.4,15183,498,672,490,502,668,679
EPL,2020,Leeds United,59,524,196,16.2,15996,321,825,519,477,589,612
EPL,2020,Leicester City,66,472,172,18,16726,350,734,390,434,616,626
EPL,2020,Liverpool,69,600,201,16.2,21527,421,560,571,385,567,621
EPL,2020,Manchester City,86,590,213,16.6,23578,485,554,438,339,499,426
EPL,2020,Manchester Utd,74,517,197,17.3,18495,424,590,444,455,553,432
EPL,2020,Newcastle Utd,45,387,130,17.5,10617,352,607,400,415,658,729
EPL,2020,Sheffield Utd,23,319,92,16.8,12057,302,669,438,440,761,852
EPL,2020,Southampton,43,417,157,17.6,14758,367,784,315,436,557,724
EPL,2020,Tottenham,62,442,166,17.2,16142,408,694,332,370,678,670
EPL,2020,West Brom,26,336,107,17.6,9741,293,662,405,447,741,804
EPL,2020,West Ham,65,462,158,15.4,12533,325,559,500,426,768,699
EPL,2020,Wolves,45,462,149,17.7,15234,496,617,501,388,620,595
