Teams,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38
Arsenal,16,8,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,3,4,4,4,4,4,4,4,4,4,4
Aston Villa,3,9,13,17,13,9,10,13,13,14,11,12,11,10,11,11,13,13,13,11,11,10,10,10,12,13,13,11,10,11,12,13,14,14,15,13,15,15
Cardiff,17,11,11,12,16,11,14,17,16,12,14,15,17,15,16,15,15,16,16,17,18,20,20,19,19,19,19,18,19,19,19,19,19,18,19,20,20,20
Chelsea,4,1,2,6,4,5,3,2,2,2,4,3,2,2,3,3,4,3,3,3,3,3,3,3,1,2,1,1,1,1,1,1,2,2,2,3,3,3
Crystal Palace,12,19,14,18,19,19,19,19,20,20,20,19,20,19,19,18,18,17,17,18,20,16,14,17,14,15,16,16,17,17,15,14,12,11,11,11,11,11
Everton,10,14,15,9,6,4,7,7,6,7,6,7,5,5,5,5,5,5,4,5,5,6,6,5,6,6,6,6,6,5,5,5,5,5,5,5,5,5
Fulham,6,12,17,14,18,18,17,14,14,16,18,18,18,18,18,19,19,18,18,16,16,17,19,20,20,20,20,20,20,20,20,18,18,19,18,19,19,19
Hull,18,13,18,16,11,8,8,9,10,10,12,13,10,12,12,12,12,12,10,10,10,11,13,13,11,10,11,13,13,12,13,12,13,13,12,15,16,16
Liverpool,7,2,1,1,5,2,2,3,3,3,2,2,4,4,2,2,1,4,5,4,4,4,4,4,4,4,4,2,2,2,2,2,1,1,1,2,2,2
Man City,1,6,3,4,3,7,5,4,7,5,8,4,3,3,4,4,3,2,2,2,2,2,1,2,3,3,3,4,3,3,3,3,3,3,3,1,1,1
Man United,2,7,7,5,8,12,9,8,8,8,5,6,8,9,9,8,8,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Newcastle,20,18,12,8,12,16,11,10,11,9,9,8,6,7,7,6,6,6,8,8,8,8,8,8,8,9,8,8,9,8,9,9,9,9,9,9,9,10
Norwich,11,15,9,15,17,14,18,18,18,18,15,16,14,16,14,14,14,14,14,15,15,12,12,15,16,16,14,15,15,13,14,16,17,17,17,18,18,18
Southampton,8,5,10,11,7,6,4,6,5,6,3,5,7,8,8,9,9,9,9,9,9,9,9,9,9,8,9,9,8,9,8,8,8,8,8,8,8,8
Stoke,13,10,5,7,10,15,16,16,17,17,17,14,16,14,13,13,10,10,12,12,12,14,16,11,13,14,15,12,11,10,10,10,10,10,10,10,10,9
Sunderland,14,16,19,20,20,20,20,20,19,19,19,20,19,20,20,20,20,20,20,20,19,19,17,14,17,18,18,19,18,18,18,20,20,20,20,17,14,14
Swansea,19,20,16,13,9,13,15,11,9,13,13,10,13,11,10,10,11,11,11,13,13,15,11,12,10,11,12,14,14,15,16,15,15,15,14,12,13,12
Tottenham,9,3,6,3,2,3,6,5,4,4,7,9,9,6,6,7,7,8,7,6,6,5,5,6,5,5,5,5,5,6,6,6,6,6,6,6,6,6
West Brom,15,17,20,19,14,10,12,12,12,11,10,11,12,13,15,16,16,15,15,14,14,13,15,16,18,17,17,17,16,16,17,17,16,16,16,16,17,17
West Ham,5,4,8,10,15,17,13,15,15,15,16,17,15,17,17,17,17,19,19,19,17,18,18,18,15,12,10,10,12,14,11,11,11,12,13,14,12,13
