Player,Stekelenburg,van_der_Wiel,Heitinga,Mathijsen,Bronckhorst,van_Bommel,Kuyt,de_Jong,van_Persie,Sneijder,Robben,Braafheid,Elia,van_der_Vaart
Stekelenburg,0,4,8,13,5,0,0,0,3,1,1,0,0,0
van_der_Wiel,8,0,4,0,3,7,0,1,1,2,5,0,0,0
Heitinga,5,2,0,4,0,10,0,1,3,0,2,0,0,0
Mathijsen,8,5,2,0,4,1,3,5,1,2,1,0,1,0
Bronckhorst,3,2,2,4,0,1,9,3,2,0,1,0,2,0
van_Bommel,2,3,3,3,1,0,1,3,4,3,1,0,1,2
Kuyt,3,1,0,0,2,0,0,1,1,2,1,0,0,0
de_Jong,2,4,0,1,1,2,4,0,1,6,3,0,1,0
van_Persie,0,2,0,0,2,1,2,0,0,6,4,1,1,0
Sneijder,0,0,4,2,0,2,1,3,3,0,8,1,3,1
Robben,2,0,0,0,0,0,0,3,2,3,0,0,0,1
Braafheid,1,3,0,0,0,0,0,0,0,0,0,0,1,2
Elia,1,0,0,0,0,0,0,1,0,0,0,2,0,0
van_der_Vaart,0,0,1,1,0,1,0,0,0,4,0,0,0,0
